label,languageCode
программа менән тәьмин итеү,ba
མཉེན་ཆས་,bo
meziant,br
सॉफ़्टवेयर,hi
software,ia
Mol-varo,io
سافٹٕویر,ks
ସଫ୍ଟୱେର,or
ਸਾਫ਼ਟਵੇਅਰ,pa
ساوتری,ps
Llamp'u kaq,qu
software,ro
Software,sc
Softver,sh
පරිගණක මෘදුකාංග,si
Programska oprema,sl
Software,so
softuer,sq
Software,st
Software,sw
மென்பொருள்,ta
కంప్యూటర్ సాఫ్ట్ వేర్,te
нармафзор,tg
ซอฟต์แวร์,th
software,tl
програм тәэминат,tt
سافٹ ویئر,ur
Dasturiy vosita,uz
phần mềm,vi
ווייכווארג,yi
Sagteware,af
software,an
برمجيات,ar
ছফ্টৱেৰ,as
proqram təminatı,az
праграмнае забеспячэнне,be
Софтуер,bg
কম্পিউটার সফটওয়্যার,bn
softver,bs
programari,ca
software,cs
meddalwedd,cy
computerprogram,da
Software,de
λογισμικό,el
software,en
programaro,eo
software,es
Tarkvara,et
software,eu
نرمافزار,fa
ohjelmisto,fi
Ritbúnaður,fo
logiciel,fr
software,fy
bogearra,ga
Bathar-bog,gd
software,gl
સૉફ્ટવેર,gu
Software,ha
תוכנה,he
programska podrška,hr
szoftver,hu
ծրագրային ապահովում,hy
perangkat lunak,id
Hugbúnaður,is
software,it
ᐊᕿᑦᑐᖅ ᖃᕆᑕᐅᔭᐅᑉ ᑎᑎᕋᕐᕕᖓ,iu
ソフトウェア,ja
Piranti alus,jv
პროგრამული უზრუნველყოფა,ka
Бағдарламалық жасақтама,kk
ತಂತ್ರಾಂಶ,kn
소프트웨어,ko
Nermalav,ku
Програмдык жабдуу,ky
Programmatura computratralis,la
Software,lb
Litámbwisi,ln
ຊອຟຕ໌ແວຣ໌,lo
programinė įranga,lt
programmatūra,lv
Rindrankajy,mg
програмска опрема,mk
കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,ml
Програм хангамж,mn
सॉफ्टवेअर,mr
perisian,ms
ကွန်ပျူတာ ဆော့ဖ်ဝဲလ်,my
programvare,nb
सफ्टवेयर,ne
software,nl
programvare,nn
logicial,oc
oprogramowanie,pl
software,pt
программное обеспечение,ru
softvér,sk
софтвер,sr
programvara,sv
yazılım,tr
програмне забезпечення,uk
软件,zh
