label,languageCode
संचालन प्रणाली,mr
Sistem pengendalian,ms
Sistema ouperatibo,mwl
Bedriefssystem,nds
अपरेटिङ सिस्टम,new
Besturingssysteem,nl
Operativsystem,nn
Operativsystem,nb
Sistèma operatiu,oc
ଅପରେଟିଙ୍ଗ ସିଷ୍ଟମ,or
ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ,pa
Betriebssystem,pfl
System operacyjny,pl
اوپریٹنگ سسٹم,pnb
Sistema operativo,pt
Llamk'aykuna llika,qu
Sistem de operare,ro
Операционная система,ru
Операчна сістема,rue
Операциялыыр система,sah
Sistema operativu,sc
Operatin seestem,sco
Operatiivavuogádat,se
Operativni sistem,sh
ပိူင်သၢင်ႈ ၶွမ်းပျူတႃႇ,shn
පරිගණක මෙහෙයුම් පද්ධති,si
Operating system,en-simple
Operačný systém,sk
Operacijski sistem,sl
Operating system,so
Оперативни систем,sr
Sistim Operasi,su
Operativsystem,sv
Mfumo wa uendeshaji,sw
Uoperacyjno systyma,szl
இயக்கு தளம்,ta
ఆపరేటింగ్ సిస్టమ్,te
Системомил,tg
ระบบปฏิบัติการ,th
Operating system,tl
İşletim sistemi,tr
Операцион система,tt
Операційна система,uk
آپریٹنگ سسٹم,ur
Ishlatuv tizimi,uz
Sistema oparadivo,vec
Hệ điều hành,vi
Sistinme d' operance,wa
Sistema operatiba,war
Nosteg doxiin,wo
操作系统,wuu
ოპერაციული სისტემა,xmf
אפערירן סיסטעם,yi
Operating System,yo
Chok-gia̍p hē-thóng,nan
作業系統,yue
操作系统,zh
مەشغۇلات سىستېمىسى,ug
ऑपरेटिंग सिस्टम,bho
Операционнӧй система,kv
운영체제,ko
Apopyvusu oku'éva,gn
Sistemi Operativ,sq
ကွန်ပျူတာ စက်လည်ပတ်ရေး စနစ်,my
OS,ace
Bedryfstelsel (inligtingstegnologie),af
Betriebssystem,gsw
የሲስተም አሰሪ,am
Sistema operativo,an
Weorcendebyrdness,ang
نظام تشغيل,ar
نظام تشغيل,arz
অপাৰেটিং চিষ্টেম,as
Sistema operativu,ast
Əməliyyat sistemi,az
ایشلدیم سیستمی,azb
Операцион система,ba
Uoperacėnė sėstema,sgs
Апэрацыйная сыстэма,be-tarask
Аперацыйная сістэма,be
Операционна система,bg
অপারেটিং সিস্টেম,bn
Reizhiad korvoiñ,br
Operativni sistem,bs
Үйлэдэлэй системэ,bxr
Sistema operatiu,ca
Chŏ̤-cáuk hiê-tūng,cdo
Операционни система,ce
سیستمی بەکارخەری,ckb
Operační systém,cs
Òperacjowô systema,csb
Операци системи,cv
System weithredu,cy
Styresystem,da
Betriebssystem,de
Sistemo operatif,diq
Λειτουργικό σύστημα,el
Sistamma operatîv,egl
Operating system,en
Operaciumo,eo
Sistema operativo,es
Operatsioonisüsteem,et
Sistema eragile,eu
سیستمعامل,fa
Käyttöjärjestelmä,fi
Opõrats'oonisüstem,vro
Système d'exploitation,fr
Bedriifsüsteem,frr
Sisteme operatîf,fur
Córas oibriúcháin,ga
Sistema operativo,gl
Chok-ngia̍p hì-thúng,hak
מערכת הפעלה,he
प्रचालन तन्त्र,hi
Operacijski sustav,hr
Dźěłowy system,hsb
Operációs rendszer,hu
Օպերացիոն համակարգ,hy
Systema de operation,ia
Sistem operasi,id
Operativ systema,ie
Sistema ti panangpaandar,ilo
Funcionanta sistemo,io
Stýrikerfi,is
Sistema operativo,it
オペレーティングシステム,ja
Sistem operasi komputer,jv
ოპერაციული სისტემა,ka
Operatsion sistema,kaa
Anagraw n wammud,kab
Операциялық жүйелер,kk
ಕಾರ್ಯನಿರ್ವಹಣ ಸಾಧನ,kn
Bedriefsystem,ksh
Pergala xebitandinê,ku
Операциялык система,ky
Systema internum,la
Betribssystem,lb
Sistem de opera,lfn
Scistema òperativo,lij
Sistema uperatif,lmo
Litámbwisi-mokonzi,ln
ລະບົບປະຕິບັດການ,lo
Operacinė sistema,lt
Operētājsistēma,lv
Mpandrindra milina,mg
Операционло системе,mhr
Sistem operasi,min
Оперативен систем,mk
ഓപ്പറേറ്റിങ് സിസ്റ്റം,ml
Үйлдлийн систем,mn
