label,languageCode
Kontrolesom,af
تدقيق مجموع,ar
Nəzarət cəmi,az
Контролна сума,bg
checksum,ca
kontrolní součet,cs
Kontrolsum,da
Prüfsumme,de
checksum,en
kontrolsumo,eo
suma de verificación,es
Kontrollsumma,et
چکسام,fa
Tarkistussumma,fi
somme de contrôle,fr
סיכום ביקורת,he
Kontrolni zbroj,hr
ellenőrző összeg,hu
Prófsumma,is
checksum,it
チェックサム,ja
체크섬,ko
Kontrolsumma,lv
контролен збир,mk
hasil tambah semak,ms
sjekksum,nb
controlecijfer,nl
sjekksum,nn
suma kontrolna,pl
soma de verificação,pt
sumă de control,ro
контрольная сумма,ru
Kontrolný súčet,sk
контролна сума,sr
kontrollsumma,sv
ผลรวมตรวจสอบ,th
контрольна сума,uk
Giá trị tổng kiểm,vi
校验和,zh
