label,languageCode
உரிமம்,ta
иҷозатнома,tg
ፍቓድ,ti
telif hakkı lisansı,tr
mualliflik huquqi litsenziyasi,uz
许可协议,zh
Lisensie,af
الرخصة,ar
lisenziya,az
лицензия,ba
ліцэнзія,be
лиценз,bg
লাইসেন্স,bn
licenca,bs
llicència,ca
лицензи,ce
licence,cs
trwydded,cy
licens,da
Lizenz,de
άδεια χρήσης,el
copyright license,en
permesilo,eo
licencia,es
litsents,et
lizentzia,eu
اجازهنامه,fa
lisenssi,fi
licence,fr
ceadúnas,ga
licenza,gl
પરવાનો,gu
רישיון,he
अनुज्ञप्ति,hi
licencija,hr
licenc,hu
թույլատրագիր,hy
licentia,ia
lisensi,id
ikike nwebiisinka,ig
licenza,it
利用許諾,ja
ლიცენზია,ka
ಪರವಾನಿಗೆ,kn
라이선스,ko
کاپی رایِٹ اِجازَتھ نامہٕ,ks
Lizenz,lb
licencija,lt
licence,lv
лиценца,mk
അനുമതി,ml
परवाना,mr
lesen hak cipta,ms
lisens,nb
licentie,nl
lisens,nn
licéncia,oc
ਲਸੰਸ,pa
licencja,pl
منښتليک,ps
licença,pt
licență,ro
лицензия,ru
liseansa,se
licencia,sk
dovoljenje,sl
liçensa,sq
лиценца,sr
licens,sv
leseni ya hakimiliki,sw
లైసెన్సు,te
สัญญาอนุญาต,th
лицензия,tt
ліцензія,uk
اجازت نامہ,ur
giấy phép,vi
