label,languageCode
lêerformaat,af
صيغة ملف,ar
фармат файла,be
Файлов формат,bg
ফাইল ফরম্যাট,bn
Formati datoteka,bs
format de fitxer,ca
formát souboru,cs
filformat,da
Dateiformat,de
Μορφότυπο,el
file format,en
dosierformo,eo
formato de archivo,es
failivorming,et
fitxategi formatu,eu
قالب پرونده,fa
tiedostomuoto,fi
format de fichier,fr
formáid chomhaid,ga
formato de arquivo,gl
פורמט קובץ,he
datotečni format,hr
fájlformátum,hu
ֆայլի ֆորմատ,hy
format berkas,id
Skráasnið,is
formato di file,it
ファイル形式,ja
მონაცემთა ფორმატი,ka
파일 형식,ko
Dateiformat,lb
faila formāts,lv
податотечен формат,mk
ഫയൽ ഫോർമാറ്റ്,ml
Format fail,ms
ဖိုင်ဖောမတ်,my
filformat,nb
bestandsformaat,nl
filformat,nn
format de fichièr,oc
format pliku,pl
formato de arquivo,pt
формат файла,ru
Formát súboru,sk
формат датотеке,sr
filformat,sv
Umbizo jalada,sw
கோப்பு வடிவம்,ta
Қолаби парванда,tg
dosya formatı,tr
файл форматы,tt
формат файлу,uk
định dạng tập tin,vi
檔案格式,zh
