label,languageCode
سلامة البيانات,ar
Цялостност на данните,bg
integritat de dades,ca
integrita dat,cs
dataintegritet,da
Konsistenz,de
Ακεραιότητα δεδομένων,el
data integrity,en
datena integreco,eo
integridad de datos,es
Terviklus,et
یکپارچگی داده ها,fa
tiedon eheys,fi
intégrité,fr
עקביות,he
Podatkovni integritet,hr
adatintegritás,hu
integrità dei dati,it
データ完全性,ja
Мәліметтердің тұтастығы,kk
데이터 무결성,ko
Datu integritāte,lv
dataintegritet,nb
integriteit,nl
dataintegritet,nn
integralność danych,pl
integridade de dados,pt
целостность информации,ru
digital integritet,sv
Veri bütünlüğü,tr
цілісність інформації,uk
toàn vẹn dữ liệu,vi
完整性,zh
