label,languageCode
የሲስተም አሰሪ,am
نظام تشغيل,ar
অপাৰেটিং চিষ্টেম,as
аперацыйная сістэма,be
অপারেটিং সিস্টেম,bn
operativni sistem,bs
sistema operatiu,ca
operační systém,cs
Операци системи,cv
styresystem,da
Betriebssystem,de
λειτουργικό σύστημα,el
operating system,en
operaciumo,eo
sistema operativo,es
operatsioonisüsteem,et
sistema eragile,eu
سیستمعامل,fa
käyttöjärjestelmä,fi
système d’exploitation,fr
córas oibriúcháin,ga
Sistema operativo,gl
מערכת הפעלה,he
संचालन प्रणाली,hi
Operacijski sustav,hr
operációs rendszer,hu
օպերացիոն համակարգ,hy
systema de operation,ia
sistem operasi,id
Operativ systema,ie
Funcionanta sistemo,io
Stýrikerfi,is
sistema operativo,it
オペレーティングシステム,ja
sistem operasi komputer,jv
ოპერაციული სისტემა,ka
Операциялық жүйелер,kk
ಕಾರ್ಯನಿರ್ವಹಣ ಸಾಧನ,kn
운영체제,ko
Pergala xebitandinê,ku
Иштетүү системи,ky
Systema administrativum computatrale,la
Betribssystem,lb
Litámbwisi-mokonzi,ln
ລະບົບປະຕິບັດການ,lo
Operacinė sistema,lt
operētājsistēma,lv
Mpandrindra milina,mg
оперативен систем,mk
ഓപ്പറേറ്റിങ്ങ് സിസ്റ്റം,ml
Үйлдлийн систем,mn
संचालन प्रणाली,mr
sistem pengendalian,ms
ကွန်ပျူတာ စက်လည်ပတ်ရေး စနစ်,my
besturingssysteem,nl
operativsystem,nn
ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ,pa
system operacyjny,pl
sistema operativo,pt
sistem de operare,ro
операционная система,ru
operačný systém,sk
оперативни систем,sr
operativsystem,sv
ระบบปฏิบัติการ,th
işletim sistemi,tr
操作系统,zh
bedryfstelsel,af
sistema operativo,an
əməliyyat sistemləri,az
операцион система,ba
операционна система,bg
reizhiad korvoiñ,br
операционни система,ce
system weithredu,cy
apopyvusu oku'éva,gn
Операционнӧй система,kv
operativsystem,nb
Sistèma operatiu,oc
ଅପରେଟିଙ୍ଗ ସିଷ୍ଟମ,or
چليز غونډال,ps
Llamk'aykuna llika,qu
Sistema operativu,sc
operatiivavuogádat,se
Operativni sistem,sh
පරිගණක මෙහෙයුම් පද්ධති,si
Operacijski sistem,sl
Operating system,so
Sistemi operativ,sq
Sistim Operasi,su
Mfumo wa uendeshaji,sw
இயக்கு தளம்,ta
ఆపరేటింగ్ సిస్టమ్,te
Системаи амалӣ,tg
operating system,tl
операцион систем,tt
مەشغۇلات سىستېمىسى,ug
операційна система,uk
اشتغالی نظام,ur
Ishlatuv tizimi,uz
hệ điều hành,vi
Sistinme d' operance,wa
Nosteg doxiin,wo
אפערירן סיסטעם,yi
Sístẹ̀mù ìṣiṣẹ́ kọ̀mpútà,yo
