label,languageCode
Llamp'u kaq,qu
Software,ro
Программное обеспечение,ru
Проґрамове забеспечіня,rue
Софтуэр,sah
Software,sc
Software,scn
Saftware,sco
Softver,sh
පරිගණක මෘදුකාංග,si
Software,en-simple
Softvér,sk
Programska oprema,sl
Software,so
Softuer kompjuterik,sq
Софтвер,sr
Programvara,sv
Maunzilaini,sw
மென்பொருள்,ta
కంప్యూటర్ సాఫ్ట్వేర్,te
Нармафзор,tg
ซอฟต์แวร์,th
Software,tl
Yazılım,tr
Программа белән тәэмин ителеш,tt
Програмне забезпечення,uk
سافٹ ویئر,ur
Dasturiy taʼminot,uz
Software,vec
Phần mềm,vi
Software,war
软件,wuu
ווייכווארג,yi
Nńg-thé,nan
電腦軟件,yue
软件,zh
Бағдарлама,kk
Software,lmo
Mol-varo,io
သော့ဝွဲး,blk
صوفتوير,ary
सफ्टवेयर,ne
Програм хангамж,mn
མཉེན་ཆས་,bo
കമ്പ്യൂട്ടർ സോഫ്റ്റ്വെയർ,ml
Sagteware,af
Software,gsw
Software,an
برمجية,ar
سوفتوير,arz
ছ'ফ্টৱেৰ,as
Programa d'ordenador,ast
Proqram təminatı,az
یازیلیم,azb
Программа менән тәьмин итеү,ba
Pruogramėnė īronga,sgs
Праграмнае забесьпячэньне,be-tarask
Праграмнае забеспячэнне,be
Софтуер,bg
सॉफ्टवेयर,bho
Pakakas bayut,bjn
কম্পিউটার সফটওয়্যার,bn
Meziant,br
Softver,bs
Programari,ca
Niōng-giông,cdo
ᏩᏂᎨ ᎦᎾᏗᏅᏗ,chr
نەرمامێر,ckb
Programma teminatı,crh-Latn
Software,cs
Meddalwedd,cy
Computerprogram,da
Software,de
Λογισμικό,el
Software,en
Programaro,eo
Software,es
Tarkvara,et
Software,eu
نرمافزار,fa
Ohjelmisto,fi
Ritbúnaður,fo
Logiciel,fr
Bogearraí,ga
Bathar-bog,gd
Software,gl
Software,ha
Ngiôn-thí,hak
תוכנה,he
सॉफ्टवेयर,hi
Programska podrška,hr
Softwara,hsb
Szoftver,hu
Ծրագրային ապահովում,hy
Software,ia
Perangkat lunak,id
Sopwer,ilo
Hugbúnaður,is
Software,it
ᐊᕿᑦᑐᖅ ᖃᕆᑕᐅᔭᐅᑉ ᑎᑎᕋᕐᕕᖓ,iu
ソフトウェア,ja
Piranti alus,jv
ತಂತ್ರಾಂಶ,kn
소프트웨어,ko
Nermalav,ku
Программалык жабдык,ky
Corpus programmatum,la
Software,lb
Software,lij
Litámbwisi,ln
ຊອບແວ,lo
Programinė įranga,lt
Programmatūra,lv
Rindrankajy,mg
Программе вораҥдыш,mhr
Програмска опрема,mk
आज्ञावली,mr
Perisian,ms
Software,mwl
ကွန်ပျူတာ ဆော့ဖ်ဝဲရ်,my
Software,nds
सफ्टवेर,new
Software,nl
Programvare,nn
Programvare,nb
Logicial,oc
ସଫ୍ଟୱେର,or
ਸਾਫ਼ਟਵੇਅਰ,pa
Oprogramowanie,pl
سوفٹویئر,pnb
Software,pt
