label,languageCode
تناتجية,ar
reproductibilitat,ca
reprodukovatelnost,cs
Reproduzierbarkeit,de
αναπαραγωγιμότητα,el
reproducibility,en
reprodukteblo de rezultoj,eo
reproducibilidad,es
erreproduzigarritasun,eu
بازتولیدپذیری,fa
Toistettavuus,fi
reproductibilité,fr
Inatáirgtheacht,ga
Reproducibilidade,gl
הדירות,he
keterulangan,id
Riproducibilità,it
再現性,ja
재현성,ko
повторливост,mk
kebolehulangan,ms
reproduserbarhet,nb
reproduceerbaarheid,nl
repeterbarheit,nn
Replikacja,pl
د بيا زېږېدنې وړتيا,ps
reprodutibilidade,pt
reproductibilitate de măsurare,ro
воспроизводимость,ru
Obnovljivost,sl
репродуцибилност,sr
reproducerbarhet,sv
ความสามารถในการทำซ้ำ,th
Відтворюваність,uk
再現性,zh
