label,languageCode
Bedryfstelsel,af
نظام التشغيل,ar
əməliyyat sistemi,az
аперацыйная сістэма,be
операционна система,bg
অপারেটিং সিস্টেম,bn
operativni sistem,bs
sistema operatiu,ca
операционни система,ce
operační systém,cs
operativsystem,da
Betriebssystem,de
λειτουργικό σύστημα,el
operating system,en
operaciumo,eo
sistema operativo,es
operatsioonisüsteem,et
sistema eragile,eu
سیستم عامل,fa
käyttöjärjestelmä,fi
système d'exploitation,fr
bestjoeringssysteem,fy
córas oibriúcháin,ga
sistema operativo,gl
מערכת הפעלה,he
प्रचालन तंत्र,hi
operativni sustav,hr
operációs rendszer,hu
օպերացիոն համակարգ,hy
systema de operation,ia
sistem operasi,id
sistemụ nrụọrụ,ig
sistema operativo,it
オペレーティングシステム,ja
ოპერაციული სისტემა,ka
операциялық жүйе,kk
운영 체제,ko
آپریٹِنگ سِسٹَم,ks
operacinė sistema,lt
operētājsistēma,lv
оперативен систем,mk
ഓപ്പറേറ്റിങ്ങ് സിസ്റ്റം,ml
चालन प्रणाली (ओएस),mr
sistem pengendalian,ms
ကွန်ပျူတာစက်လည်ပတ်ရေးစနစ်ပရိုဂရမ်,my
operativsystem,nb
besturingssysteem,nl
operativsystem,nn
sistèma operatiu,oc
system operacyjny,pl
sistema operacional,pt
sistem de operare,ro
операционная система,ru
operačný systém,sk
operacijski sistem,sl
sistemi operativ,sq
оперативни систем,sr
operativsystem,sv
mfumo wa uendeshaji,sw
இயக்கமுறைமை,ta
నిర్వాహణా వ్యవస్థ,te
систем-омил,tg
ระบบปฏิบัติการ,th
işletim sistemi,tr
операцион систим,tt
операційна система,uk
آپریٹنگ سسٹم,ur
hệ điều hành,vi
作業系統,zh
