label,languageCode
صيغة ملف,ar
Файлов формат,bg
ফাইল ফরম্যাট,bn
Formati datoteka,bs
Format de fitxer,ca
Formát souboru,cs
Filformat,da
Dateiformat,de
Μορφότυπο,el
File format,en
Formato de archivo,es
Failivorming,et
Fitxategi formatu,eu
قالب پرونده,fa
Tiedostomuoto,fi
פורמט קובץ,he
Datotečni format,hr
Fájlformátum,hu
Skráasnið,is
Formato di file,it
ファイルフォーマット,ja
მონაცემთა ფორმატი,ka
파일 형식,ko
Dateiformat,lb
Файлформат,mhr
ഫയൽ ഫോർമാറ്റ്,ml
Format fail,ms
Bestandsformaat,nl
Format pliku,pl
Formato de arquivo,pt
Формат файла,ru
File format,en-simple
Formát súboru,sk
Filformat,sv
Umbizo jalada,sw
கோப்பு வடிவம்,ta
Қолаби парванда,tg
Формат файлу,uk
Forma de file,vec
Định dạng tập tin,vi
文件格式,wuu
檔案格式,yue
檔案格式,zh
Format berkas,id
