label,languageCode
Yetki belgesi,tr
تصريح (قانون),ar
Lisenziya,az
Licenzėjė,sgs
Ліцэнзія,be-tarask
Ліцэнзія,be
Лиценз,bg
লাইসেন্স,bn
Llicència,ca
Лицензи,ce
Licence,cs
Licens,da
Lizenz,de
Άδεια,el
License,en
Licenco,eo
Licencia,es
Litsents,et
پروانه (سند),fa
Lisenssi,fi
Licence (juridique),fr
Lisinsje,fy
लाइसेंस,hi
Licencija,hr
Lisans,ht
Licenc,hu
Արտոնագիր,hy
Lisensi,id
Licenza (economia),it
ライセンス,ja
Лицензия,kk
ಪರವಾನಗಿ,kn
면허,ko
Лицензия,ky
Licentia,la
Lizenz,lb
Licencija,lt
Лицензий,mhr
Lesen,ms
Licentie,nl
Konsesjon,nn
Konsesjon,nb
ਲਸੰਸ,pa
Licencja (prawo),pl
Licença,pt
Лицензия,ru
Licenca,sh
License,en-simple
Licenca,sq
Лиценца,sr
Licens,sv
Leseni,sw
లైసెన్సు,te
Иҷозатнома,tg
สัญญาอนุญาต,th
Ліцензія,uk
اجازت نامہ,ur
Litsenziya,uz
Giấy phép,vi
牌照,yue
授權 (法律),zh
רישיון,he
Licentie,nds-NL
परवाना,mr
许可（法律）,wuu
