label,languageCode
سلامة البيانات,ar
Integritat de dades,ca
Integrita dat,cs
Dataintegritet,da
Konsistenz (Datenspeicherung),de
Data integrity,en
Integreco (kriptografio),eo
Integridad de datos,es
Terviklus,et
یکپارچگی دادهها,fa
Eheys (tietoturva),fi
Intégrité (cryptographie),fr
עקביות (פסיכולוגיה),he
Podatkovni integritet,hr
Adatintegritás,hu
Integrità dei dati,it
データ完全性,ja
Мәліметтердің тұтастығы,kk
데이터 무결성,ko
Datu integritāte,lv
Integriteit (informatiebeveiliging),nl
Integralność danych,pl
Integridade de dados,pt
Целостность информации,ru
Data integrity,en-simple
Veri bütünlüğü,tr
Цілісність інформації,uk
Toàn vẹn dữ liệu,vi
数据完整性,zh
Цялостност на данните,bg
