label,languageCode
رخصة,ar
Lisenziya,az
Ліцэнзія,be
Лиценз,bg
লাইসেন্স,bn
licenca,bs
llicència,ca
лицензи,ce
licence,cs
trwydded,cy
licens,da
Lizenz,de
άδεια,el
license,en
permesilo,eo
licencia,es
litsents,et
پروانه,fa
lisenssi,fi
licence,fr
Lisinsje,fy
ceadúnas,ga
licenza,gl
רישיון,he
लाइसेंस,hi
Licencija,hr
Lisans,ht
licenc,hu
Արտոնագիր,hy
Lisensi,id
licenza,it
利用許諾,ja
Лицензиялық келісім,kk
ಪರವಾನಗಿ,kn
면허,ko
Destûrname,ku
Лицензия,ky
Licentia,la
Lizenz,lb
Licencija,lt
licence,lv
лиценца,mk
ഉപയോഗാനുമതി,ml
परवाना,mr
lesen,ms
konsesjon,nb
licentie,nl
konsesjon,nn
ਲਸੰਸ,pa
licencja,pl
licença,pt
licență,ro
лицензия,ru
लघ्नाक्,sa
liseansa,se
Licenca,sh
Licenca,sq
уговор о лиценци,sr
licens,sv
Leseni,sw
లైసెన్సు,te
Литсензиякунонӣ,tg
สัญญาอนุญาต,th
lisans,tr
лицензия,tt
ліцензія,uk
اجازہ,ur
Litsenziya,uz
giấy phép,vi
许可,zh
